example,test_index,label,gradcam_mean,shap_mean
0,12716,Normal,0.78810571337241,0.0
1,11798,SVEB,0.6774848846934199,0.0
2,3311,Normal,0.5529006962683186,0.0
3,16040,Normal,0.5760938472127216,0.0
4,13812,PVC,0.4625905906173663,0.0
5,12515,Normal,0.7389950621014206,0.0
6,2107,Normal,0.5591078988576116,0.0
7,1466,Unknown,0.6361165492768833,0.0
8,10755,Normal,0.727616295111863,0.0
9,8440,Normal,0.6220018004992207,0.0
10,7116,Normal,0.7544274384951513,0.0
11,1412,Normal,0.6832795320603371,0.0
12,7408,Normal,0.6805880651627626,0.0
13,14111,Normal,0.6950798734574889,0.0
14,1548,PVC,0.3482116386827001,0.0
15,12097,Normal,0.8025395836969159,0.0
16,12926,Normal,0.7280995309544385,0.0
17,7212,Normal,0.6169410666012617,0.0
18,11462,PVC,0.6045207087485389,0.0
19,8655,Normal,0.7929949915958724,0.0
